SL,title,company,location,salary,summary
710,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
711,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
712,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
713,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
714,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
715,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
716,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
717,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
718,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
719,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
720,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
721,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
722,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
723,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
724,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
725,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
726,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
727,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
728,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
729,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
730,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
731,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
732,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
733,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
734,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
735,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
736,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
737,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
738,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
739,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
740,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
741,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
742,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
743,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
744,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
745,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
746,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
747,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
748,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
749,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
750,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
751,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
752,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
753,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
754,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
755,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
756,DevOps Engineer,Zimetrics Technologies,"Northridge, CA",,"Overall experience 8-10 years with at least 4 years in hand on DevOps Role and at least 2 years on AWS.
Expertise on capacity planning, Deployment Architectures…"
757,Senior Software Engineer,Georg Fischer Signet LLC,"El Monte, CA 91731 (Park El Monte area)",,"Program in Rust and/or C/C++ using modern coding practices.
Embrace modern development practices: Mob Programming/Pair Programming, Clean Code, Test Driven…"
758,Electrical Engineer - Embedded Systems,"Phase Four, Inc.","El Segundo, CA 90245",,"As Phase Four is bringing its first products to customers and developing next generation capabilities, you will work with engineers across disciplines to…"
759,Satellite ADCS Engineer,Rocket Lab USA,"Long Beach, CA",,"As the Satellite ADCS Engineer, you'll be responsible for the design, implementation, testing, and operation of Attitude Determination and Control Systems (ADCS…"
760,"Senior Software Engineer - Riot Developer Experience, Operab...",Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"Create and operate tools and services that help accelerate all of Riot.
Lead the design and implementation of new software components."
761,Senior DevOps Engineer,iHerb,"Los Angeles, CA","$120,355 - $180,690 a year","You will also have a deep passion for automation and observability, with a keen understanding of how distributed systems play together."
762,Senior QA Automation Engineer,Sensei,"Santa Monica, CA",,"Build or adapt the necessary test infrastructure to track and run all automation coming from the developers and QA engineers.
10+ years of testing experience."
763,Senior Software Engineer - Accounting & Finance,Fair,"Santa Monica, CA",,"Your goal will be to automate data flows and achieve data parity between our homegrown billing system and NetSuite ERP.
Work with multiple teams and partners."
764,DevOps Engineer,Pacific Specialty Insurance Company,"Los Angeles, CA","$130,000 - $160,000 a year","Working knowledge on using and developing Perl, python, and Ruby scripts used to automate day-to-day administrative tasks."
765,Backend Engineer —— Java,ShipSaving,"Industry, CA 91748","$50,000 - $120,000 a year","The Back-End Developer will be responsible for designing and developing new features, as well as maintaining and upgrading existing tools."
766,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
767,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
768,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
769,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
770,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
771,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
772,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
773,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
774,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
775,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
776,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
777,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
778,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
779,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
780,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
781,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
782,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
783,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
784,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
785,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
786,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
787,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
788,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
789,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
790,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
791,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
792,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
793,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
794,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
795,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
796,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
797,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
798,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
799,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
800,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
801,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
802,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
803,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
804,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
805,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
806,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
807,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
808,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
809,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
810,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
811,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
812,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
813,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
814,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
815,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
816,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
817,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
818,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
819,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
820,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
821,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
822,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
823,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
824,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
825,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
826,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
827,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
828,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
829,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
830,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
831,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
832,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
833,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
834,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
835,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
836,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
837,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
838,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
839,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
840,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
841,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
842,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
843,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
844,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
845,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
846,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
847,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
848,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
849,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
850,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
851,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
852,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
853,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
854,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
855,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
856,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
857,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
858,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
859,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
860,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
861,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
862,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
863,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
864,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
865,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
866,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
867,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
868,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
869,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
870,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
